sitetype,lat,lon,zip,plus4
Lodging,47.716924,-122.34544961,98133,8249
Lodging,47.71748105,-122.34544481,98133,8249
Lodging,47.7157962,-122.34409638,98133,8248
Lodging,47.54215788,-121.83663054,98065,9687
Lodging,47.44631315,-122.21745487,98057,
Lodging,47.46761868,-122.24560924,98188,2554
Lodging,47.71094011,-122.1912189,98034,4302
Lodging,47.61894821,-122.20051599,98004,
Lodging,47.6176648,-122.19338828,98004,4408
Lodging,47.61826253,-122.20100808,98004,4219
Lodging,47.28204353,-122.32139968,98003,7451
Lodging,47.63878363,-122.3263835,98102,4163
Lodging,47.73626594,-122.34599199,98133,6526
Lodging,47.70956284,-122.17791216,98034,8213
Lodging,47.70798258,-122.17951945,98034,8220
Lodging,47.53833998,-121.91036679,98027,8775
Lodging,47.44415721,-121.42554609,98045,
Lodging,47.45564698,-122.29288384,98188,3166
Lodging,47.44572204,-122.29404189,98188,4004
Lodging,47.44699717,-122.29523694,98188,3530
Lodging,47.45265161,-122.29456335,98188,3114
Lodging,47.451437,-122.29475413,98188,3117
Lodging,47.447518,-122.2940668,98188,4002
Lodging,47.66663201,-122.38303083,98107,4060
Lodging,47.66616843,-122.38262091,98107,4860
Lodging,47.62163542,-121.90266203,98014,5905
Lodging,47.62976662,-122.13676895,98052,5520
Lodging,47.45347929,-122.25357174,98188,3329
Lodging,47.3915544,-122.29280123,98032,2825
Lodging,47.46319564,-122.24428258,98188,5549
Lodging,47.46596215,-122.24513359,98188,5508
Lodging,47.20236037,-121.98858515,98022,3412
Lodging,47.5811821,-122.13420213,98008,6401
Lodging,47.38251377,-122.26261057,98032,
Lodging,47.38186113,-122.25761224,98032,4238
Lodging,47.46745484,-121.71539118,98045,8762
Lodging,47.6249882,-122.34459631,98109,4242
Lodging,47.77135367,-122.34667729,98133,3520
Lodging,47.63486215,-122.14721569,98007,3629
Lodging,47.63550047,-122.14630023,98007,3694
Lodging,47.63402766,-122.14766181,98007,3675
Lodging,47.5383731,-122.3193703,98108,3510
Lodging,47.37638244,-122.29768964,98032,5436
Lodging,47.37738386,-122.29810112,98032,5436
Lodging,47.29003835,-122.31146406,98003,8915
Lodging,47.55073318,-122.05782649,98027,8998
Lodging,47.29091437,-122.3150737,98003,6855
Lodging,47.28895058,-122.31940765,98003,8308
Lodging,47.28874662,-122.31892806,98003,8308
Lodging,47.6203329,-122.35969523,98119,4217
Lodging,47.62025119,-122.34313552,98109,5007
Lodging,47.62023998,-122.34294294,98109,5105
Lodging,47.62174623,-122.34417298,98109,4608
Lodging,47.62014509,-122.34455745,98109,5004
Lodging,47.62051927,-122.34399122,98109,5008
Lodging,47.62036642,-122.34587548,98109,5016
Lodging,47.61996835,-122.34800337,98109,5093
Lodging,47.62342124,-122.35578684,98109,4523
Lodging,47.62641816,-122.33324732,98109,4412
Lodging,47.62402898,-122.33485149,98109,5507
Lodging,47.62334111,-122.33619099,98109,4326
Lodging,47.60894493,-122.3269016,98104,1234
Lodging,47.61165375,-122.340962,98101,1120
Lodging,47.61152198,-122.34309509,98121,2101
Lodging,47.61314111,-122.34548647,98121,1615
Lodging,47.61262822,-122.345829,98121,1614
Lodging,47.60983172,-122.3413719,98101,1571
Lodging,47.61051291,-122.33350892,98101,2398
Lodging,47.61233219,-122.33432134,98101,1703
Lodging,47.60946614,-122.33930606,98101,1507
Lodging,47.6098441,-122.34050049,98101,1511
Lodging,47.61012579,-122.33545446,98101,2313
Lodging,47.60672578,-122.3377905,98101,2911
Lodging,47.60485419,-122.33674885,98104,1007
Lodging,47.65743052,-122.34666961,98103,7812
Lodging,47.65490066,-122.34687431,98103,7802
Lodging,47.73132428,-122.34542701,98133,6942
Lodging,47.38898154,-122.46617527,98070,7055
Lodging,47.29698832,-122.21679181,98002,6744
Lodging,47.48242817,-122.21641312,98057,2044
Lodging,47.40070598,-122.22681641,98032,2491
Lodging,47.61728381,-122.31305392,98122,2614
Lodging,47.48365533,-122.19416639,98057,3958
Lodging,47.48536941,-122.19659075,98057,5517
Lodging,47.30761454,-122.31481003,98003,6334
Lodging,47.73533162,-122.30511186,98155,7323
Lodging,47.4766917,-122.28239985,98168,4123
Lodging,47.47572961,-122.28456216,98168,4075
Lodging,47.61340661,-122.34003439,98121,2415
Lodging,47.6123444,-122.19791613,98004,5723
Lodging,47.73359363,-122.14688751,98072,6950
Lodging,47.65989207,-122.28515147,98105,5428
Lodging,47.48397921,-121.76261966,98045,9297
Lodging,47.39004648,-122.28722613,98032,2832
Lodging,47.74459058,-121.08982007,98288,
Lodging,47.57017287,-122.10437783,98008,5937
Lodging,47.4704143,-121.72877875,98045,9563
Lodging,47.48222136,-121.71696112,98045,8759
Lodging,47.39972107,-122.22895762,98032,2492
Lodging,47.39664364,-122.22904049,98032,3041
Lodging,47.387857,-122.23154759,98032,3051
Lodging,47.66166447,-122.30510773,98105,3325
Lodging,47.66201865,-122.30420888,98105,5703
Lodging,47.66178603,-122.30579304,98105,3324
Lodging,47.30175537,-122.23458382,98001,5901
Lodging,47.30239589,-122.2333841,98001,5999
Lodging,47.66872324,-122.10060341,98052,4922
Lodging,47.67318616,-122.11837518,98052,4434
Lodging,47.32844576,-122.37482029,98023,2340
Lodging,47.4644068,-122.27004844,98188,2338
Lodging,47.65778911,-122.31746805,98105,6436
Lodging,47.65954644,-122.31742312,98105,6009
Lodging,47.57545203,-122.12970794,98006,1825
Lodging,47.58133799,-122.13690595,98007,6528
Lodging,47.41290082,-122.25371944,98032,2345
Lodging,47.41164704,-122.25626966,98032,2333
Lodging,47.32719334,-122.39189926,98023,2048
Lodging,47.58009858,-122.14406433,98007,6457
Lodging,47.57772418,-122.16337845,98006,7300
Lodging,47.4376495,-122.29645177,98188,4209
Lodging,47.69125037,-122.34415035,98103,3912
Lodging,47.6914597,-122.34380388,98103,3959
Lodging,47.69338683,-122.34376108,98103,3920
Lodging,47.56151136,-122.37688077,98126,2731
Lodging,47.60540192,-122.33116331,98104,1608
Lodging,47.60681371,-122.33077987,98104,1119
Lodging,47.60755181,-122.33243842,98101,3001
Lodging,47.60809448,-122.33211351,98101,3048
Lodging,47.60706881,-122.33329597,98104,1120
Lodging,47.60737906,-122.33362089,98101,3007
Lodging,47.60695031,-122.33413855,98101,3003
Lodging,47.60720828,-122.3345035,98101,2999
Lodging,47.66539339,-121.92644565,98014,5501
Lodging,47.66409677,-122.30148985,98105,4198
Lodging,47.66329084,-122.30587095,98105,3328
Lodging,47.66336321,-122.30456514,98105,3340
Lodging,47.66586073,-122.29952666,98105,4110
Lodging,47.66291824,-122.30597456,98105,3326
Lodging,47.66259997,-122.30519052,98105,3327
Lodging,47.66285407,-122.30493444,98105,3339
Lodging,47.66329115,-122.30480959,98105,3340
Lodging,47.66328286,-122.30506628,98105,3340
Lodging,47.50097149,-122.29297383,98168,1945
Lodging,47.40861018,-122.29726015,98198,6073
Lodging,47.31587,-122.29968255,98003,5638
Lodging,47.31818315,-122.3087042,98003,5426
Lodging,47.31741823,-122.29793376,98003,5623
Lodging,47.31782344,-122.31116848,98003,5439
Lodging,47.75595047,-122.20259852,98011,3708
Lodging,47.31633487,-122.31618328,98003,5374
Lodging,47.62070233,-122.19780928,98004,4327
Lodging,47.76128647,-122.20715329,98011,2000
Lodging,47.75425498,-122.34629276,98133,5316
Lodging,47.6181696,-122.34126829,98121,2889
Lodging,47.61558204,-122.34185852,98121,1815
Lodging,47.63470189,-122.13127827,98008,2127
Lodging,47.63421349,-122.13086072,98008,2127
Lodging,47.63472945,-122.13031559,98008,2127
Lodging,47.61802813,-122.33007937,98101,1433
Lodging,47.61784214,-122.3296554,98101,1433
Lodging,47.61298268,-122.3294954,98101,2389
Lodging,47.61567426,-122.33305344,98101,2403
